96,स्वयम्भू,1.1.16,1.1.16.2.3,पुं.,स्वर्गवर्गः,ब्रह्मा
97,चतुरानन,1.1.16,1.1.16.2.4,पुं.,स्वर्गवर्गः,ब्रह्मा
98,धातृ,1.1.17,1.1.17.1.1,पुं.,स्वर्गवर्गः,ब्रह्मा
99,अब्जयोनि,1.1.17,1.1.17.1.2,पुं.,स्वर्गवर्गः,ब्रह्मा
100,द्रुहिण,1.1.17,1.1.17.1.3,पुं.,स्वर्गवर्गः,ब्रह्मा
101,विरिञ्चि,1.1.17,1.1.17.1.4,पुं.,स्वर्गवर्गः,ब्रह्मा
102,कमलासन,1.1.17,1.1.17.1.5,पुं.,स्वर्गवर्गः,ब्रह्मा
103,स्रष्टृ,1.1.17,1.1.17.2.1,पुं.,स्वर्गवर्गः,ब्रह्मा
104,प्रजापति,1.1.17,1.1.17.2.2,पुं.,स्वर्गवर्गः,ब्रह्मा
105,वेधस्,1.1.17,1.1.17.2.3,पुं.,स्वर्गवर्गः,ब्रह्मा
106,विधातृ,1.1.17,1.1.17.2.4,पुं.,स्वर्गवर्गः,ब्रह्मा
107,विश्वसृज्,1.1.17,1.1.17.2.5,पुं.,स्वर्गवर्गः,ब्रह्मा
108,विधि,1.1.17,1.1.17.2.6,पुं.,स्वर्गवर्गः,ब्रह्मा
109,नाभिजन्मन्,1.1.17,1.1.17.3.1,पुं.,स्वर्गवर्गः,ब्रह्मा
110,अण्डज,1.1.17,1.1.17.3.2,पुं.,स्वर्गवर्गः,ब्रह्मा
111,पूर्व,1.1.17,1.1.17.3.3,पुं.,स्वर्गवर्गः,ब्रह्मा
112,निधन,1.1.17,1.1.17.3.4,पुं-नपुं.,स्वर्गवर्गः,ब्रह्मा
113,कमलोद्भव,1.1.17,1.1.17.3.5,पुं.,स्वर्गवर्गः,ब्रह्मा
114,सदानन्द,1.1.17,1.1.17.4.1,पुं.,स्वर्गवर्गः,ब्रह्मा
115,रजोमूर्तिन्,1.1.17,1.1.17.4.2,पुं.,स्वर्गवर्गः,ब्रह्मा
116,सत्यक,1.1.17,1.1.17.4.3,पुं.,स्वर्गवर्गः,ब्रह्मा
117,हंसवाहन,1.1.17,1.1.17.4.4,पुं.,स्वर्गवर्गः,ब्रह्मा
118,विष्णु,1.1.18,1.1.18.1.1,पुं.,स्वर्गवर्गः,विष्णुः
119,नारायण,1.1.18,1.1.18.1.2,पुं.,स्वर्गवर्गः,विष्णुः
120,कृष्ण,1.1.18,1.1.18.1.3,पुं.,स्वर्गवर्गः,विष्णुः
121,वैकुण्ठ,1.1.18,1.1.18.1.4,पुं.,स्वर्गवर्गः,विष्णुः
122,विष्टरश्रवस्,1.1.18,1.1.18.1.5,पुं.,स्वर्गवर्गः,विष्णुः
123,दामोदर,1.1.18,1.1.18.2.1,पुं.,स्वर्गवर्गः,विष्णुः
124,हृषीकेश,1.1.18,1.1.18.2.2,पुं.,स्वर्गवर्गः,विष्णुः
125,केशव,1.1.18,1.1.18.2.3,पुं.,स्वर्गवर्गः,विष्णुः
126,माधव,1.1.18,1.1.18.2.4,पुं.,स्वर्गवर्गः,विष्णुः
127,स्वभू,1.1.18,1.1.18.2.5,पुं.,स्वर्गवर्गः,विष्णुः
128,दैत्यारि,1.1.19,1.1.19.1.1,पुं.,स्वर्गवर्गः,विष्णुः
129,पुण्डरीकाक्ष,1.1.19,1.1.19.1.2,पुं.,स्वर्गवर्गः,विष्णुः
130,गोविन्द,1.1.19,1.1.19.1.3,पुं.,स्वर्गवर्गः,विष्णुः
131,गरुडध्वज,1.1.19,1.1.19.1.4,पुं.,स्वर्गवर्गः,विष्णुः
132,पीताम्बर,1.1.19,1.1.19.2.1,पुं.,स्वर्गवर्गः,विष्णुः
133,अच्युत,1.1.19,1.1.19.2.2,पुं.,स्वर्गवर्गः,विष्णुः
134,शार्ङ्गिन्,1.1.19,1.1.19.2.3,पुं.,स्वर्गवर्गः,विष्णुः
135,विष्वक्सेन,1.1.19,1.1.19.2.4,पुं.,स्वर्गवर्गः,विष्णुः
136,जनार्दन,1.1.19,1.1.19.2.5,पुं.,स्वर्गवर्गः,विष्णुः
137,उपेन्द्र,1.1.20,1.1.20.1.1,पुं.,स्वर्गवर्गः,विष्णुः
138,इन्द्रावरज,1.1.20,1.1.20.1.2,पुं.,स्वर्गवर्गः,विष्णुः
139,चक्रपाणि,1.1.20,1.1.20.1.3,पुं.,स्वर्गवर्गः,विष्णुः
140,चतुर्भुज,1.1.20,1.1.20.1.4,पुं.,स्वर्गवर्गः,विष्णुः
141,पद्मनाभ,1.1.20,1.1.20.2.1,पुं.,स्वर्गवर्गः,विष्णुः
142,मधुरिपु,1.1.20,1.1.20.2.2,पुं.,स्वर्गवर्गः,विष्णुः
143,वासुदेव,1.1.20,1.1.20.2.3,पुं.,स्वर्गवर्गः,विष्णुः
144,त्रिविक्रम,1.1.20,1.1.20.2.4,पुं.,स्वर्गवर्गः,विष्णुः
145,देवकीनन्दन,1.1.21,1.1.21.1.1,पुं.,स्वर्गवर्गः,विष्णुः
