751,दशबल,1.1.14.1.2,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
761,अद्वयवादिन्,1.1.14.1.3,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
771,विनायक,1.1.14.1.4,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
781,मुनीन्द्र,1.1.14.2.1,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
791,श्रीघन,1.1.14.2.2,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
801,शास्तृ,1.1.14.2.3,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
811,मुनि,1.1.14.2.4,पुं.,स्वर्गवर्गः,बुद्धः,,,,,,,,,ऋषिः,,
821,शाक्यमुनि,1.1.14.2.5,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
831,शाक्यसिंह,1.1.15.1.1,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
841,सर्वार्थसिद्ध,1.1.15.1.2,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
851,शौद्धोदनि,1.1.15.1.3,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
861,गौतम,1.1.15.2.1,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
871,अर्कबन्धु,1.1.15.2.2,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
881,मायादेवीसुत,1.1.15.2.3,पुं.,स्वर्गवर्गः,शाक्यः,,,,,,,,,ऋषिः,,
891,ब्रह्मन्,1.1.16.1.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
901,आत्मभू,1.1.16.1.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
911,सुरज्येष्ठ,1.1.16.1.3,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
921,परमेष्ठिन्,1.1.16.1.4,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
931,पितामह,1.1.16.1.5,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
941,हिरण्यगर्भ,1.1.16.2.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
951,लोकेश,1.1.16.2.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
