1.1.1,1.1.1.1,"यस्य ज्ञानदयासिन्धोरगाधस्यानघा गुणाः।"
1.1.49,1.1.49.1,"मन्दाकिनी वियद्गङ्गा स्वर्णदी सुरदीर्घिका।"
1.1.49,1.1.49.2,"मेरुः सुमेरुर्हेमाद्री रत्नसानुः सुरालयः॥"
1.1.50,1.1.50.1,"पञ्चैते देवतरवो मन्दारः पारिजातकः।"
1.1.50,1.1.50.2,"सन्तानः कल्पवृक्षश्च पुंसि वा हरिचन्दनम्॥"
1.1.51,1.1.51.1,"सनत्कुमारो वैधात्रः स्वर्वैद्यावश्विनीसुतौ।"
1.1.51,1.1.51.2,"नासत्यावश्विनौ दस्रावाश्विनेयौ च तावुभौ॥"
1.1.52,1.1.52.1,"स्त्रियां बहुष्वप्सरसः स्वर्वेश्या उर्वशीमुखाः।"
1.1.52,1.1.52.2,"घृताची मेनका रम्भा उर्वशी च तिलोत्तमा।"
1.1.52,1.1.52.3,"सुकेशीमञ्जुघोषाद्याः कथ्यन्तेऽप्सरसो बुधैः।"
1.1.52,1.1.52.4,"हाहा हूहूश्चैवमाद्या गन्धर्वास्त्रिदिवौकसाम्॥"
1.1.53,1.1.53.1,"अग्निर्वैश्वानरो वह्निर्वीतिहोत्रो धनञ्जयः।"
1.1.53,1.1.53.2,"कृपीटयोनिर्ज्वलनो जातवेदास्तनूनपात्॥"
1.1.54,1.1.54.1,"बर्हिः शुष्मा कृष्णवर्त्मा शोचिष्केश उषर्बुधः।"
1.1.54,1.1.54.2,"आश्रयाशो बृहद्भानुः कृशानुः पावकोऽनलः॥"
1.1.55,1.1.55.1,"रोहिताश्वो वायुसखः शिखावानाशुशुक्षणिः।"
1.1.55,1.1.55.2,"हिरण्यरेता हुतभुग्दहनो हव्यवाहनः॥"
1.1.56,1.1.56.1,"सप्तार्चिर्दमुनाः शुक्रश्चित्रभानुर्विभावसुः।"
1.1.56,1.1.56.2,"शुचिरप्पित्तमौर्वस्तु वाडवो वडवानलः॥"
1.1.57,1.1.57.1,"वह्नेर्द्वयोर्ज्वालकीलावर्चिर्हेतिः शिखा स्त्रियाम्।"
1.1.57,1.1.57.2,"त्रिषु स्फुलिङ्गोऽग्निकणः सन्तापः सञ्ज्वरः समौ।"
1.1.57,1.1.57.3,"उल्का स्यान्निर्गतज्वाला भूतिर्भसितभस्मनी।"
1.1.57,1.1.57.4,"क्षारो रक्षा च दावस्तु दवो वनहुताशनः॥"
1.1.58,1.1.58.1,"धर्मराजः पितृपतिः समवर्ती परेतराट्।"
1.1.58,1.1.58.2,"कृतान्तो यमुनाभ्राता शमनो यमराड्यमः॥"
1.1.59,1.1.59.1,"कालो दण्डधरः श्राद्धदेवो वैवस्वतोऽन्तकः।"
1.1.59,1.1.59.2,"राक्षसः कौणपः क्रव्यात् क्रव्यादोऽस्रप आशरः॥"
1.1.60,1.1.60.1,"रात्रिञ्चरो रात्रिचरः कर्बुरो निकषात्मजः।"
1.1.60,1.1.60.2,"यातुधानः पुण्यजनो नैर्ऋतो यातुरक्षसी॥"
1.1.61,1.1.61.1,"प्रचेता वरुणः पाशी यादसांपतिरप्पतिः।"
1.1.61,1.1.61.2,"श्वसनः स्पर्शनो वायुर्मातरिश्वा सदागतिः॥"
